id,log
0,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,mutfak=doğu asya)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası,fiyat=ucuz)', 'S: teklif_et(restoran=dojo noodle bar)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: seç(restoran=dojo noodle bar)', 'S: onaylandı(dojo noodle bar)', 'K: veda_et()', 'S: veda_et()']"
1,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=cuma,mutfak=fark etmez,fiyat=pahalı,saat=13)', 'S: iste(yer)', 'K: bilgilendir(yer=avrupa yakası,kişi sayısı=3)', 'S: teklif_et(restoran=the good luck çin food takeaway,restoran=yu garden,restoran=chiquito restaurant bar)', 'K: tekrar_sor()', 'S: teklif_et(restoran=the good luck çin food takeaway,restoran=yu garden,restoran=chiquito restaurant bar)', 'K: alternatif_sor()', 'S: teklif_et(restoran=darrys cookhouse and wine shop,restoran=cocum,restoran=michaelhouse cafe)', 'K: seç(restoran=cocum)', 'S: onaylandı(cocum)', 'K: veda_et()', 'S: veda_et()']"
2,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,yer=avrupa yakası,fiyat=ucuz,mutfak=çin)', 'S: teklif_et(restoran=golden house)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: seç(restoran=golden house)', 'S: onaylandı(golden house)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02121868261,puan=4)', 'K: veda_et()', 'S: veda_et()']"
3,"['S: iste(amaç)', 'K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,yer=fark etmez,gün=perşembe,kişi sayısı=1,saat=17)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=ingiliz,fiyat=pahalı)', 'S: teklif_et(restoran=fitzbillies restaurant,restoran=graffiti,restoran=grafton hotel restaurant)', 'K: reddet()', 'S: veda_et()']"
4,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=4,fiyat=pahalı)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=italyan)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: iste(gün)', 'K: bilgilendir(gün=cuma,saat=19)', 'S: teklif_et(restoran=stazione restaurant and coffee bar,restoran=frankie and bennys,restoran=clowns cafe)', 'K: seç(restoran=frankie and bennys)', 'S: onaylandı(frankie and bennys)', 'K: iste(telefon_no)', 'S: bilgilendir(telefon_no=02166666685)', 'K: veda_et()', 'S: veda_et()']"
5,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=cuma,kişi sayısı=2,saat=13)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=italyan,fiyat=pahalı,yer=fark etmez)', 'S: teklif_et(restoran=stazione restaurant and coffee bar,restoran=frankie and bennys,restoran=clowns cafe)', 'K: seç(restoran=frankie and bennys)', 'S: onaylandı(frankie and bennys)', 'K: iste(telefon_no,puan)', 'S: bilgilendir(telefon_no=02166666685,puan=5)', 'K: veda_et()', 'S: veda_et()']"
6,"['S: iste(amaç)', 'K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,gün=cumartesi)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=fark etmez,fiyat=orta,kişi sayısı=4)', 'S: iste(yer)', 'K: bilgilendir(yer=anadolu yakası)', 'S: iste(saat)', 'K: bilgilendir(saat=16)', 'S: teklif_et(restoran=pizza hut cherry hinton,restoran=curry prince,restoran=pizza express)', 'K: seç(restoran=pizza express)', 'S: onaylandı(pizza express)', 'K: veda_et()', 'S: veda_et()']"
7,"['K: tekrar_sor()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=2,mutfak=hint,saat=19)', 'S: iste(yer)', 'K: bilgilendir(yer=fark etmez)', 'S: iste(gün)', 'K: bilgilendir(gün=cuma)', 'S: teklif_et(restoran=curry garden,restoran=taj tandoori,restoran=curry prince)', 'K: seç(restoran=taj tandoori)', 'S: onaylandı(taj tandoori)', 'K: veda_et()', 'S: veda_et()']"
8,"['S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,fiyat=orta,yer=anadolu yakası,saat=19,kişi sayısı=3)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=italyan)', 'S: teklif_et(restoran=pizza hut cherry hinton,restoran=prezzo,restoran=pizza hut fen ditton)', 'K: alternatif_sor()', 'S: bilgilendir(işlem başarısız)', 'K: veda_et()', 'S: veda_et()']"
9,"['K: selam_ver()', 'S: iste(amaç)', 'K: bilgilendir(amaç=restoran rezervasyonu,kişi sayısı=1,fiyat=pahalı,yer=fark etmez,gün=salı)', 'S: iste(mutfak)', 'K: bilgilendir(mutfak=hint,saat=17)', 'S: teklif_et(restoran=curry garden,restoran=taj tandoori,restoran=the golden curry)', 'K: seç(restoran=the golden curry)', 'S: onaylandı(the golden curry)', 'K: veda_et()', 'S: veda_et()']"
